Total,AccLB,InAccLB,AccSP,InAccSP
21,5.8,10.6,4.6,-
1,-,-,-,1
6.3,-,-,5,1.3
6.5,0.3,0.7,3.6,1.9
16,-,-,14,2
20,1,-,18,1
1,-,-,1,-
6.7,0.6,0.5,5.1,0.5
2.9,-,0.1,2.3,0.5
3.5,0.5,0.5,2,0.5
5,0.2,0.1,3.5,1.3
12.9,0.7,0.7,9.6,1.9
5,-,1,3,1
1,-,-,1,-
40.7,1,2,34.7,3
5,-,0.3,4.1,0.6
7.6,0.3,0.3,5.8,1.3
5.1,0.1,-,3.4,1.6
36.9,2,3,27.9,4
4.5,-,-,3.5,1
26,1.5,0.5,20,4
6,-,-,6,-
1,-,-,1,-
13.2,0.5,0.4,9.9,2.4
6.2,0.1,0.4,4.2,1.5
3,-,-,1,2
-,-,-,-,-
8.8,0.1,0.1,6.4,2.1
7,0.6,0.4,4.8,1.2
11.3,0.3,0.5,8.8,1.7
-,-,-,-,-
20,-,4,11,5
23.6,0.5,1.1,20.4,1.6
5.3,-,-,4.3,1
12,-,0.5,8.5,3
20.5,0.6,0.4,16.9,2.6
7,-,-,5,2
6,-,2,2,2
8.4,0.4,0.3,5.9,1.8
3.3,-,-,3,0.3
14,1,2,10,1
3,-,-,1,2
3,-,-,2.5,0.5
5.5,-,-,4.5,1
1,-,-,1,-
-,-,-,-,-
10.8,0.4,0.6,8.8,1
2,-,0.5,1,0.5
2,-,-,1,1
2.3,-,-,2,0.3
4.2,0.1,0.1,3.4,0.6
-,-,-,-,-
4,-,-,2,2
5,-,-,4,1
7,-,-,4,3
51.3,3.1,3.4,42.9,1.9
4,1,1,1,1
-,-,-,-,-
4,-,1,2,1
9,-,-,9,-
1,-,-,0.5,0.5
27,4,16,6.8,0.3
14,-,2,12,-
7,-,-,7,-
1,-,-,-,1
16,1,-,9,6
17,3,1,13,-
8,-,-,5,3
27.3,4.8,7.3,15.3,-
38,8,9,20,1
5,-,-,2,3
