,Club,League,Age,National,Height,Main_position,Foot,Market_Value,Months_left,Start_app,Sub_app,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,TotAD,WonAD,LostAD,CrAss,CorAss,ThrbAss,FreAss,OthAss,TotAss,BlkSh,BlkCr,BlkPs,YelC,RedC,TotClr,UnDrib,SucDrib,TotDrib,Fouled,Fouls,TotGs,SYBGs,PAGs,OOBGs,TotInt,TotKPs,LKPs,SKPs,COF,TotPs,AccLB,InAccLB,AccSP,InAccSP,UnTch,Dispo,TotSav,SYBSav,PASav,OOBSav,TotSh,OOBSh,SYBSh,PASh,TotTkl,DribPast,TotAttTkl,Market_Value_log,Card,Position_Group,Continent,Continent_Grouped,Club_Group
1657,Olympique Lyon,Ligue1,28,France,196,Goalkeeper,left,1.5,25.0,1.0,0.0,90.0,0,0,0,0,0.0,89.3,0.0,0,6.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,3.0,3.0,22.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9162907318741551,0,Phòng ngự,Europe,Europe,Bottom Tier
1658,RC Lens,Ligue1,22,France,184,Centre-Forward,right,2.5,37.0,6.0,8.0,635.0,2,1,5,0,1.0,78.9,0.4,1,6.51,0.9,0.4,0.5,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.4,0.4,0.0,0.4,1.0,0.9,1.9,0.6,1.6,0.1,0.0,0.1,0.0,0.1,0.5,0.0,0.5,0.7,10.9,0.2,0.1,8.4,2.1,2.3,0.5,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.8,1.1,0.4,1.6,1.252762968495368,5,Tiền đạo,Europe,Europe,Bottom Tier
1659,Olympique Lyon,Ligue1,20,France,175,Right-Back,right,6.0,25.0,12.0,2.0,956.0,0,0,3,0,0.3,86.3,0.2,0,6.53,0.7,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.6,0.2,0.0,2.1,0.9,0.6,1.6,0.7,1.2,0.0,0.0,0.0,0.0,0.6,0.4,0.1,0.3,0.0,31.3,0.2,0.7,26.8,3.6,0.7,0.8,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.2,2.0,0.4,2.4,1.9459101490553132,3,Phòng ngự,Europe,Europe,Lower Tier
1660,FC Nantes,Ligue1,22,Guinea,187,Centre-Back,right,6.0,1.0,11.0,1.0,1019.0,0,1,2,0,0.3,90.9,1.3,0,6.25,2.6,1.3,1.3,0.0,0.0,0.0,0.0,0.1,0.1,0.8,0.2,0.5,0.2,0.0,2.9,0.1,0.1,0.2,0.4,0.6,0.0,0.0,0.0,0.0,1.3,0.2,0.0,0.2,0.1,52.9,1.1,2.4,47.0,2.4,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.3,0.8,0.5,1.3,1.9459101490553132,2,Phòng ngự,Africa,Africa,Lower Tier
1661,RC Strasbourg Alsace,Ligue1,22,Sweden,178,Left Midfield,right,15.0,49.0,25.0,3.0,1998.0,5,4,0,0,1.0,84.4,0.1,0,6.76,0.4,0.1,0.3,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.7,0.0,0.0,0.5,0.8,0.6,1.4,0.6,0.3,0.2,0.0,0.1,0.0,0.3,1.2,0.4,0.8,0.0,24.5,0.5,0.3,20.2,3.5,0.7,0.5,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.8,0.7,0.4,1.1,2.772588722239781,0,Tiền vệ,Europe,Europe,Mid-High Tier
1662,Stade Rennais FC,Ligue1,29,Ivory Coast,185,Central Midfield,right,12.0,49.0,9.0,5.0,801.0,1,1,3,0,1.6,91.1,0.5,0,6.57,0.7,0.5,0.2,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.4,0.2,0.0,0.5,0.9,0.9,1.7,0.5,0.6,0.1,0.0,0.0,0.1,0.4,0.9,0.0,0.9,0.1,36.9,1.2,0.3,32.4,3.0,0.6,0.4,0.0,0.0,0.0,0.0,1.6,0.9,0.0,0.7,0.7,0.4,1.1,2.5649493574615367,3,Tiền vệ,Africa,Africa,Mid-Tier
1663,Paris Saint-Germain,Ligue1,18,France,183,Central Midfield,both,10.0,25.0,6.0,11.0,591.0,1,1,2,0,1.2,88.9,0.1,0,6.53,0.6,0.1,0.5,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.3,0.1,0.0,0.4,0.8,0.6,1.5,0.8,0.8,0.1,0.0,0.1,0.0,0.2,0.5,0.1,0.4,0.0,19.1,0.4,0.1,16.6,2.0,0.9,1.1,0.0,0.0,0.0,0.0,1.2,0.4,0.1,0.7,1.2,0.2,1.5,2.3978952727983707,2,Tiền vệ,Europe,Europe,Mid-Tier
1664,Stade Reims,Ligue1,27,Equatorial Guinea,175,Left-Back,left,7.0,37.0,26.0,1.0,2300.0,1,3,5,0,0.9,86.5,0.7,1,6.63,1.5,0.7,0.9,0.1,0.0,0.0,0.0,0.0,0.1,0.3,0.4,0.6,0.2,0.0,3.0,0.7,0.5,1.1,0.7,0.8,0.0,0.0,0.0,0.0,0.6,0.7,0.1,0.6,0.0,31.4,0.7,2.0,26.4,2.2,1.0,0.6,0.0,0.0,0.0,0.0,0.9,0.4,0.0,0.5,1.1,0.5,1.6,2.0794415416798357,5,Phòng ngự,Africa,Africa,Mid-Tier
1665,FC Toulouse,Ligue1,24,Gabon,179,Right Winger,right,3.0,25.0,11.0,18.0,1176.0,4,2,2,0,0.7,74.5,0.2,0,6.3,0.9,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.1,0.0,0.1,0.9,0.4,1.3,0.7,0.5,0.1,0.1,0.0,0.0,0.1,0.4,0.0,0.4,0.2,8.2,0.1,0.1,6.1,2.0,0.9,0.6,0.0,0.0,0.0,0.0,0.7,0.1,0.1,0.5,0.7,0.4,1.1,1.3862943611198906,2,Tiền đạo,Africa,Africa,Lower Tier
1666,Angers SCO,Ligue1,18,France,185,Centre-Forward,right,1.0,37.0,3.0,4.0,322.0,0,0,0,0,0.7,56.1,0.4,0,6.04,2.7,0.4,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.0,0.0,0.0,1.3,0.4,1.7,1.1,0.6,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.7,8.1,0.0,0.0,4.6,3.6,1.6,1.3,0.0,0.0,0.0,0.0,0.7,0.6,0.0,0.1,0.7,0.1,0.9,0.6931471805599453,0,Tiền đạo,Europe,Europe,Bottom Tier
