,Age,Height,Market_Value,Months_left,Sub_app,Mins,Goals,Assists,PS%,MotM,Rating,CrAss,CorAss,ThrbAss,FreAss,OthAss,BlkSh,BlkCr,BlkPs,TotClr,Fouled,Fouls,SYBGs,PAGs,OOBGs,TotInt,COF,UnTch,Dispo,SYBSh,Card,League_EPL,League_Laliga,League_Ligue1,League_SerieA,Foot_left,Foot_right,Position_Group_Tiền vệ,Position_Group_Tiền đạo,Continent_Grouped_Europe,Continent_Grouped_Other,Club_Group_Lower Tier,Club_Group_Mid-High Tier,Club_Group_Mid-Tier,Club_Group_Top Tier,Club_Group_Upper Tier
2063,27,190,7.0,1.0,7.0,620.0,0,0,75.8,1,6.47,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.6,0.5,1.7,1.2,0.0,0.0,0.0,0.3,0.0,0.9,0.7,0.0,4,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0
2064,26,195,3.0,13.0,1.0,1314.0,1,0,85.1,0,6.56,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.5,3.9,0.7,0.4,0.1,0.0,0.0,1.4,0.0,0.8,0.7,0.1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
2065,24,187,3.0,1.0,8.0,2079.0,0,1,84.3,1,6.41,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.6,0.4,0.9,0.0,0.0,0.0,0.7,0.0,0.9,0.8,0.1,4,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0
2066,28,183,10.0,25.0,4.0,653.0,0,0,89.2,0,6.48,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,1.2,1.2,0.0,0.0,0.0,0.5,0.0,0.4,0.5,0.0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0
2067,27,187,18.0,1.0,0.0,2610.0,0,0,75.0,0,6.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
2068,29,191,25.0,13.0,0.0,2935.0,0,0,84.7,0,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
2069,36,186,0.8,1.0,2.0,1420.0,1,0,82.3,0,6.58,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.5,1.9,0.8,0.8,0.0,0.0,0.0,0.8,0.0,0.9,0.5,0.0,3,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
2070,34,199,1.5,13.0,5.0,1270.0,4,1,49.2,3,6.91,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.9,1.0,0.9,0.1,0.0,0.0,0.1,0.3,0.8,0.8,0.1,3,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
2071,25,189,17.0,25.0,0.0,3060.0,0,0,76.7,3,6.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
2072,29,188,0.7,1.0,3.0,319.0,0,0,79.8,0,6.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.4,0.6,0.4,0.0,0.0,0.0,0.1,0.4,1.7,0.6,0.0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
2073,23,185,2.3,25.0,11.0,337.0,0,0,79.4,0,6.21,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.6,0.8,0.7,0.4,0.0,0.0,0.0,0.3,0.0,0.9,0.4,0.0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
2074,25,183,40.0,49.0,1.0,2442.0,17,3,71.6,2,7.08,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.8,1.7,1.3,0.3,0.0,0.0,0.2,1.8,3.1,1.8,0.4,5,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0
2075,24,178,20.0,37.0,0.0,2837.0,2,0,85.5,3,6.79,0.0,0.0,0.0,0.0,0.0,0.5,0.3,1.3,1.4,1.0,1.5,0.1,0.0,0.0,1.4,0.0,1.2,0.8,0.0,5,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0
2076,28,188,3.0,13.0,7.0,1819.0,0,1,68.1,0,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.5,1.8,0.0,0.0,0.0,0.2,0.3,1.6,1.0,0.1,4,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0
2077,22,177,9.0,1.0,6.0,1538.0,0,2,90.9,0,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.6,0.5,1.1,0.0,0.0,0.0,0.7,0.0,0.9,0.6,0.0,5,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
2078,30,187,3.0,37.0,5.0,1108.0,0,0,86.5,0,6.38,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,1.2,0.2,0.8,0.0,0.0,0.0,0.4,0.1,0.5,0.5,0.1,4,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
2079,25,187,4.5,37.0,2.0,2421.0,5,0,73.0,1,6.54,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,1.1,0.6,0.9,0.0,0.1,0.0,0.5,0.0,1.7,1.0,0.1,3,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0
2080,29,181,3.5,13.0,6.0,647.0,0,0,79.1,0,6.38,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.5,1.9,0.7,0.7,0.0,0.0,0.0,0.2,0.0,0.2,0.3,0.0,2,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0
2081,20,180,12.0,49.0,14.0,1160.0,2,1,85.3,0,6.38,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,0.5,0.6,0.1,0.0,0.0,0.4,0.0,1.0,0.6,0.0,6,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0
2082,20,186,35.0,37.0,5.0,2344.0,6,6,83.8,4,7.17,0.0,0.0,0.0,0.0,0.2,0.1,0.0,1.3,0.4,1.0,1.3,0.1,0.1,0.0,0.6,0.1,2.9,1.3,0.1,6,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1
2083,32,193,1.5,13.0,0.0,2430.0,0,0,67.4,1,6.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
2084,33,174,0.4,1.0,5.0,63.0,0,0,88.9,0,6.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
2085,23,175,10.0,1.0,8.0,532.0,0,0,78.0,0,6.25,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.5,1.1,0.2,0.0,0.0,0.0,0.3,0.1,0.7,0.3,0.0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0
2086,29,178,0.7,1.0,8.0,281.0,0,0,82.4,0,6.21,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.5,0.3,1.1,0.0,0.0,0.0,0.4,0.0,0.3,0.3,0.0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
2087,35,180,1.0,1.0,8.0,1157.0,3,1,69.9,2,6.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.3,0.8,0.1,0.0,0.0,0.1,0.3,1.2,0.9,0.0,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
2088,24,187,4.5,1.0,1.0,781.0,0,0,69.2,2,6.88,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.6,5.7,0.2,1.6,0.0,0.0,0.0,1.0,0.0,0.5,0.1,0.1,3,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
