,Name,Club,Age,Height,National,Positions,Total_Aerial,Won_Aerial,Lost_Aerial,Cross_Assists,Corner_Assists,Throughball_Assists,Freekick_Assists,Throwin_Assists,Other_Assists,Total_Assists,ShotsBlocked_Blocks,CrossesBlocked_Blocks,PassesBlocked_Blocks,Fouled_Cards,Fouls_Cards,CaughtOffside_Clearances,Unsuccessful_Dribbles,Successful_Dribbles,Total Dribbles_Dribbles,Fouled_Fouls,Fouls_Fouls,Total_Goals,OutOfBox_Goals,SixYardBox_Goals,PenaltyArea_Goals,Total_Interception,Total_Key passes,Long_Key passes,Short_Key passes,CaughtOffside_Offsides,Total_Passes,AccLB_Passes,InAccLB_Passes,AccSP_Passes,InAccSP_Passes,UnsuccessfulTouches_Possession loss,Dispossessed_Possession loss,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves,Total_Shots,SixYardBox_Shots,PenaltyArea_Shots,OutOfBox_Shots,TotalTackles_Tackles,DribbledPast_Tackles,TotalAttemptedTackles_Tackles,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
357,Ylber Ramadani,Lecce,29 years old (12-04-1996),185cm,,Defensive Midfielder (C),1.4,0.5,0.9,-,-,-,-,-,-,-,0.3,-,0.6,0.1,-,0.8,0.4,0.4,0.8,0.4,0.6,-,-,-,-,0.9,0.6,-,0.5,-,28.6,1.4,1.8,22.5,2.9,0.7,0.8,-,-,-,-,0.6,0.4,-,0.1,1.8,0.6,2.4,Ylber Ramadani,21(7),1698,-,1,4,-,0.6,83.8,0.5,-,6.41
358,Reda Belahyane,Lazio,20 years old (01-06-2004),169cm,France,Defensive Midfielder (C),0.9,0.2,0.7,-,-,-,-,-,0.1,0.1,0.4,0.1,0.5,0.2,-,0.9,0.9,1.5,2.4,0.4,1.4,-,-,-,-,0.5,0.7,0.1,0.6,-,31.6,1,1.5,25.7,3.5,1.5,1,-,-,-,-,0.3,0.2,-,-,1.6,0.2,1.8,Reda Belahyane,17(5),1657,-,2,4,1,0.3,84.2,0.2,-,6.4
359,Douglas Luiz,Juventus,26 years old (09-05-1998),175cm,Brazil,Midfielder (Centre),0.5,0.3,0.2,-,-,-,-,-,-,-,0.1,-,0.2,0.1,-,0.3,0.2,0.6,0.8,0.4,0.8,-,-,-,-,0.1,0.9,0.2,0.7,-,24.5,1.6,0.6,20.7,1.7,0.4,0.4,-,-,-,-,0.4,0.2,-,0.3,0.8,0.2,0.9,Douglas Luiz,3(13),485,-,-,2,-,0.4,90.8,0.3,-,6.4
360,Luka Jovic,AC Milan,27 years old (23-12-1997),181cm,Serbia,Forward,0.9,0.5,0.5,-,-,-,-,-,-,-,0.1,-,0.1,0.1,-,0.2,0.1,0.4,0.5,0.5,0.4,0.2,0.1,0.1,-,0.1,0.8,-,0.8,-,8,0.2,-,6.7,1.1,0.5,0.2,-,-,-,-,0.8,0.1,0.1,0.6,-,-,-,Luka Jovic,3(8),347,2,-,1,-,0.8,86.4,0.5,1,6.4
361,Jackson Tchatchoua,Verona,23 years old (14-09-2001),186cm,Cameroon,"Defender (Right), Midfielder (Left, Right)",1.9,0.9,1,-,-,-,-,-,0.1,0.1,0.3,0.3,0.3,0.2,-,1.7,0.6,0.6,1.1,0.3,0.8,0.1,-,-,-,0.4,1,-,1,0.3,22.8,0.6,1.3,17.6,3.3,1.4,0.4,-,-,-,-,0.4,0.1,-,0.3,1.4,0.4,1.8,Jackson Tchatchoua,32,2809,2,2,5,1,0.4,79.9,0.9,1,6.4
362,Suat Serdar,Verona,28 years old (11-04-1997),184cm,Germany,"Midfielder (Centre, Left, Right)",1.5,0.8,0.7,-,-,-,-,-,0.1,0.1,0.2,0.1,0.5,0.1,0.1,0.8,0.9,0.8,1.7,0.7,1.4,0.1,-,-,0.1,0.4,0.4,-,0.4,-,21.3,0.9,0.8,15.6,4.1,1.1,0.7,-,-,-,-,1.4,0.8,0.1,0.6,1.4,0.7,2.2,Suat Serdar,13(5),1071,1,1,2,1,1.4,77.3,0.8,-,6.4
363,Christian Kouamé,Empoli,27 years old (06-12-1997),188cm,Ivory Coast,"Attacking Midfielder (Left, Right), Forward",2.8,1.6,1.2,-,-,-,-,-,0.1,0.1,0.1,-,0.1,0.1,-,0.6,0.7,0.4,1.1,0.8,0.7,-,-,-,-,0.1,0.5,0.1,0.4,0.1,10.2,0.3,0.3,6.9,2.7,0.9,0.7,-,-,-,-,0.6,0.1,0.1,0.4,0.7,0.2,0.9,Christian Kouamé,5(13),614,-,1,1,-,0.6,70.5,1.6,-,6.4
364,Pepe Reina,Como,42 years old (31-08-1982),188cm,Spain,Goalkeeper,0.1,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,0.8,0.1,-,0.1,0.1,-,-,-,-,-,-,-,-,-,-,27.6,5.5,7.4,14.5,0.2,-,-,2.3,0.1,1.2,1,-,-,-,-,-,0.1,0.1,Pepe Reina,10,900,-,-,-,-,-,72.5,0.1,-,6.4
365,Alfred Duncan,Venezia,32 years old (10-03-1993),178cm,Ghana,Defensive Midfielder (C),1.2,0.6,0.6,-,-,-,-,-,-,-,0.1,0.1,0.3,0.1,-,0.4,0.6,0.8,1.4,0.7,1.4,-,-,-,-,0.5,0.7,0.1,0.6,-,29.8,1.3,1.7,23.4,3.4,0.9,0.9,-,-,-,-,0.9,0.8,-,0.2,1.1,0.6,1.6,Alfred Duncan,12(4),959,-,-,2,-,0.9,83,0.6,-,6.4
366,Fisayo Dele-Bashiru,Lazio,24 years old (06-02-2001),176cm,Nigeria,"Midfielder (Centre, Left)",0.7,0.2,0.6,-,-,-,-,-,0.1,0.1,0.1,0.1,0.4,-,-,0.2,0.4,0.7,1.1,0.2,0.4,0.2,-,0.2,-,0.2,0.5,-,0.5,-,17.6,0.2,0.1,15.6,1.8,0.8,0.8,-,-,-,-,0.8,0.4,-,0.4,0.5,0.2,0.7,Fisayo Dele-Bashiru,11(8),894,3,1,-,-,0.8,89.3,0.2,-,6.4
