,Name,Club,Age,Height,National,Positions,Total_Aerial,Won_Aerial,Lost_Aerial,Cross_Assists,Corner_Assists,Throughball_Assists,Freekick_Assists,Throwin_Assists,Other_Assists,Total_Assists,ShotsBlocked_Blocks,CrossesBlocked_Blocks,PassesBlocked_Blocks,Fouled_Cards,Fouls_Cards,CaughtOffside_Clearances,Unsuccessful_Dribbles,Successful_Dribbles,Total Dribbles_Dribbles,Fouled_Fouls,Fouls_Fouls,Total_Goals,OutOfBox_Goals,SixYardBox_Goals,PenaltyArea_Goals,Total_Interception,Total_Key passes,Long_Key passes,Short_Key passes,CaughtOffside_Offsides,Total_Passes,AccLB_Passes,InAccLB_Passes,AccSP_Passes,InAccSP_Passes,UnsuccessfulTouches_Possession loss,Dispossessed_Possession loss,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves,Total_Shots,SixYardBox_Shots,PenaltyArea_Shots,OutOfBox_Shots,TotalTackles_Tackles,DribbledPast_Tackles,TotalAttemptedTackles_Tackles,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
444,Patric,Lazio,32 years old (17-04-1993),184cm,Spain,"Defender (Centre, Right), Midfielder (Right)",1.4,0.7,0.6,-,-,-,-,-,-,-,0.2,0.1,0.1,0.3,-,1.9,-,-,-,0.5,0.5,0.1,0.1,-,-,0.3,0.1,-,0.1,-,36.2,2.3,2.9,30,1,0.2,-,-,-,-,-,0.2,-,0.1,0.1,0.8,0.4,1.2,Patric,6(5),605,1,-,3,-,0.2,89.2,0.7,-,6.27
445,Simone Scuffet,Napoli,28 years old (31-05-1996),193cm,Italy,Goalkeeper,0.3,0.2,0.1,-,-,-,-,-,-,-,-,-,-,-,-,0.9,-,-,-,0.1,-,-,-,-,-,-,-,-,-,-,27.2,7.5,8.9,10.6,0.2,-,-,2.5,0.1,1.2,1.3,-,-,-,-,-,0.1,0.1,Simone Scuffet,13,1170,-,-,-,-,-,66.6,0.2,1,6.27
446,Cheick Conde,Venezia,24 years old (26-07-2000),185cm,Guinea,Midfielder,1,0.9,0.1,-,-,-,-,-,-,-,0.1,-,0.6,0.3,-,0.4,0.1,0.3,0.4,0.3,0.7,-,-,-,-,0.6,0.1,-,0.1,-,6.1,-,-,4.7,1.4,0.1,0.6,-,-,-,-,0.1,0.1,-,-,0.9,0.4,1.3,Cheick Conde,1(6),106,-,-,2,-,0.1,76.7,0.9,-,6.26
447,Milan Djuric,Parma Calcio 1913,34 years old (22-05-1990),198cm,Bosnia-Herzegovina,Forward,5.8,3.8,2,-,-,-,-,-,-,-,-,-,0.5,0.2,-,0.2,-,0.2,0.2,0.7,0.3,-,-,-,-,-,-,-,-,0.2,10.8,-,-,5.2,5.7,0.2,0.3,-,-,-,-,0.7,-,-,0.7,-,0.3,0.3,Milan Djuric,3(3),231,-,-,1,-,0.7,47.7,3.8,-,6.26
448,Ridgeciano Haps,Venezia,31 years old (12-06-1993),175cm,Netherlands,"Defender (Left), Midfielder (Left)",1.3,0.6,0.7,-,-,-,-,-,-,-,0.1,0.4,0.6,0.1,-,1.6,0.3,0.2,0.6,0.7,0.5,-,-,-,-,0.3,0.2,-,0.2,-,20.3,0.9,1.7,15.6,2.1,0.4,0.2,-,-,-,-,0.6,0.2,-,0.4,1,0.3,1.4,Ridgeciano Haps,12(9),1199,-,-,3,-,0.6,81.2,0.6,-,6.26
449,Thijs Dallinga,Bologna,24 years old (03-08-2000),180cm,Netherlands,Forward,2.6,1.4,1.3,-,-,-,-,-,-,-,-,-,0.3,-,-,0.4,0.3,0.1,0.4,0.6,0.8,0.1,-,-,-,-,0.3,-,0.3,0.2,8.6,0.1,0.1,6.1,2.3,1.4,0.7,-,-,-,-,1,-,0.1,0.9,0.4,-,0.4,Thijs Dallinga,9(19),950,2,-,1,-,1,72.6,1.4,-,6.26
450,Flavius Daniliuc,Verona,24 years old (27-04-2001),188cm,Austria,"Defender (Centre, Right)",2.1,1.1,0.9,-,-,-,-,-,-,-,0.1,0.1,0.4,-,-,1.5,0.2,0.3,0.4,0.1,0.7,-,-,-,-,0.4,0.1,-,0.1,-,21.7,0.7,1.2,17.8,2,0.4,0.3,-,-,-,-,0.3,0.1,-,0.2,1.4,0.6,2,Flavius Daniliuc,8(8),906,-,-,-,-,0.3,85.3,1.1,-,6.26
452,Tijjani Noslin,Lazio,25 years old (07-07-1999),180cm,Netherlands,"Attacking Midfielder (Left, Right), Forward",1.9,0.9,1,-,-,-,-,-,0.1,0.1,-,0.1,0.5,0.1,-,0.2,0.4,0.3,0.7,0.5,0.7,0.1,-,0.1,-,-,0.4,0.1,0.3,-,7.8,0.2,0.1,5.9,1.6,0.8,0.4,-,-,-,-,0.6,0.1,0.1,0.4,0.2,0.2,0.4,Tijjani Noslin,8(21),835,2,2,2,-,0.6,78,0.9,-,6.26
453,Gaetano Castrovilli,Monza,28 years old (17-02-1997),176cm,Italy,"Midfielder (Centre, Left)",0.6,0.1,0.4,-,-,-,-,-,-,-,0.2,0.1,0.6,-,-,0.7,0.7,0.4,1.1,0.6,0.6,-,-,-,-,0.2,0.6,-,0.6,0.1,19.3,0.4,0.6,15.2,3.1,1,0.7,-,-,-,-,0.7,0.2,-,0.4,1.3,0.7,2,Gaetano Castrovilli,5(4),467,-,-,-,-,0.7,81,0.1,-,6.26
455,Mehdi Taremi,Inter,32 years old (18-07-1992),185cm,Iran,"Attacking Midfielder (Left), Forward",1.5,0.7,0.8,-,-,-,-,-,-,-,-,-,0.3,-,-,0.4,0.2,0.2,0.4,0.4,0.4,-,-,-,-,-,0.5,-,0.5,0.2,8,-,-,6.5,1.4,0.5,0.2,-,-,-,-,0.5,-,0.1,0.4,0.1,0.1,0.2,Mehdi Taremi,4(18),576,1,1,1,-,0.5,81.7,0.7,-,6.25
456,Marco Silvestri,Empoli,34 years old (02-03-1991),191cm,Italy,Goalkeeper,0.2,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,1.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.4,7.6,10.8,8,-,-,-,3.2,0.2,2,1,-,-,-,-,-,0.4,0.4,Marco Silvestri,5,450,-,-,-,-,-,59.1,0.2,-,6.25
457,Tomás Palacios,Monza,22 years old (28-04-2003),196cm,Argentina,Defender (Centre),1.3,0.8,0.5,-,-,-,-,-,-,-,0.3,-,0.3,0.2,-,1.5,0.2,1,1.2,1,0.2,-,-,-,-,0.8,-,-,-,-,39.5,2,2,33.2,2.3,0.3,0.3,-,-,-,-,0.2,0.2,-,-,1.2,0.7,1.8,Tomás Palacios,3(3),300,-,-,1,-,0.2,89,0.8,-,6.25
458,Caleb Ekuban,Genoa,31 years old (23-03-1994),188cm,Ghana,"Attacking Midfielder (Centre, Left, Right), Forward",1.8,0.7,1.1,0.1,-,-,-,-,0.1,0.2,0.1,-,0.2,0.1,-,0.3,0.4,0.1,0.6,0.5,0.7,0.1,0.1,-,-,0.1,0.4,-,0.4,0.3,5.5,0.2,0.1,3.8,1.4,1,0.8,-,-,-,-,1.1,0.3,0.2,0.7,0.2,-,0.2,Caleb Ekuban,3(13),503,1,3,1,-,1.1,71.6,0.7,-,6.25
459,Nicola Zalewski,Inter,23 years old (23-01-2002),175cm,Poland,"Defender (Left), Midfielder (Left, Right)",1.1,0.4,0.7,-,-,-,-,-,-,-,0.2,0.2,0.4,-,-,0.5,1.2,0.2,1.3,1.1,0.2,-,-,-,-,0.3,0.8,0.3,0.6,0.1,17.4,0.4,0.9,13.2,2.9,0.7,0.3,-,-,-,-,0.4,0.3,-,0.2,0.7,0.4,1.1,Nicola Zalewski,4(8),532,-,-,-,-,0.4,78,0.4,-,6.25
461,Nicolò Fagioli,Fiorentina,24 years old (12-02-2001),178cm,Italy,Defensive Midfielder (C),0.2,0.1,0.1,-,-,-,-,-,-,-,-,-,0.2,0.2,-,0.3,0.1,0.1,0.2,0.3,0.6,-,-,-,-,0.1,0.2,0.1,0.2,-,23.8,1.1,0.6,20.5,1.5,0.6,0.1,-,-,-,-,0.7,0.4,-,0.3,0.8,0.2,1,Nicolò Fagioli,5(12),565,-,-,4,-,0.7,91.1,0.1,-,6.24
462,Keita Baldé,Monza,30 years old (08-03-1995),181cm,Senegal,"Attacking Midfielder (Left, Right), Forward",1.8,0.4,1.4,-,-,-,-,-,-,-,-,-,0.4,0.1,-,-,1.1,0.5,1.6,2.4,0.9,0.1,-,-,0.1,0.1,0.3,-,0.3,0.1,17.1,0.5,0.1,15,1.5,1.9,1.4,-,-,-,-,1.3,0.4,-,0.9,0.1,0.1,0.3,Keita Baldé,6(2),465,1,-,1,-,1.3,90.5,0.4,-,6.24
463,Lameck Banda,Lecce,24 years old (29-01-2001),169cm,Zambia,Attacking Midfielder (Left),1.1,0.1,0.9,0.1,-,-,-,-,-,0.1,-,0.1,0.4,0.1,-,0.3,1.3,0.6,1.9,1.3,0.6,-,-,-,-,0.1,0.7,0.1,0.6,0.1,8.9,0.1,0.1,7.4,1.3,1.1,0.6,-,-,-,-,1.1,0.5,0.1,0.5,0.6,0.6,1.1,Lameck Banda,6(8),574,-,1,1,-,1.1,84,0.1,-,6.24
464,Leonardo Pavoletti,Cagliari,36 years old (26-11-1988),188cm,Italy,Forward,4.2,2.2,2,-,-,-,-,-,-,-,-,-,0.1,0.2,-,0.1,-,-,-,0.2,1,0.1,0.1,-,-,-,0.4,-,0.4,0.3,6.1,-,0.2,3.6,2.4,0.7,-,-,-,-,-,0.7,0.1,0.2,0.4,-,-,-,Leonardo Pavoletti,1(24),408,2,-,4,-,0.7,58.8,2.2,1,6.24
465,Mateusz Kowalski,Parma Calcio 1913,19 years old (21-07-2005),197cm,Poland,Midfielder,3,-,3,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,12,-,-,8,4,2,2,-,-,-,-,1,-,1,-,-,-,-,Mateusz Kowalski,1,57,-,-,-,-,1,66.7,-,-,6.24
466,Drissa Camara,Parma Calcio 1913,23 years old (18-02-2002),179cm,Ivory Coast,Midfielder,0.7,0.2,0.5,-,-,-,-,-,-,-,-,-,0.3,0.2,-,0.1,0.5,0.8,1.4,0.7,0.8,-,-,-,-,0.1,0.2,-,0.2,0.1,8.3,0.2,0.4,6.2,1.5,0.6,0.1,-,-,-,-,0.8,0.3,-,0.5,0.5,0.4,0.9,Drissa Camara,1(18),384,-,-,3,-,0.8,77.1,0.2,-,6.24
467,Antonio Sanabria,Torino,29 years old (04-03-1996),180cm,Paraguay,Forward,3.2,0.9,2.3,-,-,-,-,-,-,-,-,-,0.2,0.1,-,0.5,0.2,0.2,0.4,0.5,0.7,0.1,-,0.1,-,-,0.4,-,0.4,-,10.6,0.1,0.1,8.3,2.1,1.3,0.9,-,-,-,-,0.8,0.2,0.1,0.5,0.1,0.1,0.3,Antonio Sanabria,15(9),1254,2,1,2,-,0.8,79.1,0.9,-,6.24
468,Matteo Prati,Cagliari,21 years old (28-12-2003),183cm,,Defensive Midfielder (C),0.6,-,0.6,-,-,-,-,-,-,-,0.2,-,0.3,0.1,-,0.9,0.5,0.3,0.8,0.5,0.7,-,-,-,-,0.6,0.5,0.1,0.5,-,21.1,1.5,3.5,13.7,2.4,0.4,0.2,-,-,-,-,0.3,0.3,-,-,0.9,0.7,1.6,Matteo Prati,8(3),558,-,-,1,-,0.3,72.4,-,-,6.24
469,Alieu Njie,Torino,19 years old (14-05-2005),171cm,Sweden,Forward,1.9,0.8,1.1,-,-,-,-,-,-,-,0.1,-,0.3,0.1,-,0.1,0.8,0.4,1.2,0.8,0.8,0.1,0.1,-,-,-,0.3,-,0.3,0.1,5.2,0.2,0.1,3.4,1.4,0.9,0.6,-,-,-,-,0.6,0.3,0.1,0.3,0.3,0.2,0.5,Alieu Njie,0(16),381,1,-,1,-,0.6,69.9,0.8,-,6.24
470,Franco Carboni,Venezia,22 years old (04-04-2003),190cm,Argentina,Defender,0.6,0.3,0.4,-,-,-,-,-,-,-,0.1,0.3,-,0.3,-,1.1,0.5,0.3,0.8,0.3,0.4,-,-,-,-,-,0.3,-,0.3,-,9.3,0.4,1.3,6.3,1.4,0.5,0.4,-,-,-,-,0.1,0.1,-,-,0.6,0.4,1,Franco Carboni,3(5),224,-,-,2,-,0.1,71.6,0.3,-,6.24
471,Jonathan Ikoné,Como,26 years old (02-05-1998),175cm,France,"Attacking Midfielder (Centre, Left, Right), Forward",0.4,-,0.4,-,-,-,-,-,-,-,-,0.1,0.2,-,-,-,0.7,0.5,1.2,0.5,0.2,-,-,-,-,0.1,0.1,-,0.1,-,7.2,0.1,0.1,6,1,0.3,0.5,-,-,-,-,0.6,0.1,-,0.6,0.4,0.1,0.5,Jonathan Ikoné,1(13),325,-,-,-,-,0.6,85.1,-,-,6.23
472,Alberto Costa,Juventus,21 years old (29-09-2003),186cm,,Defender (Right),0.6,0.2,0.4,-,-,-,-,-,-,-,-,-,0.8,0.2,-,0.6,1,0.2,1.2,0.2,0.8,-,-,-,-,0.2,0.2,-,0.2,-,17.4,0.4,0.2,14.8,2,0.6,-,-,-,-,-,0.4,-,-,0.4,1.2,0.2,1.4,Alberto Costa,0(5),116,-,-,1,-,0.4,87.4,0.2,-,6.23
473,Danilo D'Ambrosio,Monza,36 years old (09-09-1988),180cm,Italy,"Defender (Centre, Left, Right), Midfielder (Left, Right)",2,0.8,1.2,-,-,-,-,-,0.1,0.1,0.4,0.1,0.2,0.1,0.1,1.8,0.3,0.1,0.4,0.6,0.9,-,-,-,-,0.8,0.3,-,0.3,0.2,30.3,1.4,1.3,25.3,2.3,0.8,0.1,-,-,-,-,0.5,0.1,0.1,0.3,1.4,0.5,1.9,Danilo D'Ambrosio,12(8),1095,-,1,2,1,0.5,88.3,0.8,-,6.23
474,Danilo Veiga,Lecce,22 years old (25-09-2002),183cm,Portugal,"Defender (Right), Midfielder (Right)",1,0.3,0.7,-,-,-,-,-,-,-,-,0.1,0.6,-,-,0.6,0.6,0.6,1.1,0.7,0.7,-,-,-,-,0.4,0.7,0.2,0.4,-,8.6,0.1,0.8,5.6,2.1,0.6,0.4,-,-,-,-,0.3,0.1,0.1,0.1,0.8,0.6,1.3,Danilo Veiga,2(7),271,-,-,-,-,0.3,66.2,0.3,-,6.23
475,Issa Doumbia,Venezia,21 years old (16-10-2003),187cm,Italy,Midfielder (Centre),1.8,0.9,0.9,-,-,-,-,-,-,-,0.2,0.1,0.6,-,-,0.6,0.3,0.5,0.7,0.5,0.8,-,-,-,-,0.4,0.2,-,0.2,-,11.5,0.1,0.5,8.9,2.1,1.1,0.8,-,-,-,-,0.7,0.3,0.1,0.4,0.7,0.4,1,Issa Doumbia,9(11),823,-,-,-,-,0.7,77.5,0.9,-,6.23
476,Marco Palestra,Atalanta,20 years old (03-03-2005),186cm,Italy,Midfielder,0.3,0.1,0.1,-,-,-,-,-,-,-,-,-,0.3,-,-,0.4,0.7,0.1,0.9,0.9,0.1,-,-,-,-,-,0.3,-,0.3,-,8,-,0.1,6.6,1.3,0.3,-,-,-,-,-,-,-,-,-,0.7,-,0.7,Marco Palestra,0(7),99,-,-,-,-,-,82.1,0.1,-,6.23
477,Mattia De Sciglio,Empoli,32 years old (20-10-1992),182cm,Italy,"Defender (Centre, Left, Right), Midfielder (Left, Right)",0.5,0.4,0.1,-,-,-,-,-,-,-,0.2,0.2,0.4,-,0.1,1.9,0.2,0.1,0.2,0.3,0.5,0.1,0.1,-,-,0.5,0.2,0.1,0.1,-,15.5,1.1,1.5,11,2,0.3,0.2,-,-,-,-,0.3,0.1,0.1,0.1,1.1,0.2,1.2,Mattia De Sciglio,8(9),765,1,-,-,1,0.3,77.7,0.4,-,6.22
478,Rui Modesto,Udinese,25 years old (07-10-1999),181cm,Angola,Midfielder,0.8,0.4,0.4,-,-,-,-,-,-,-,-,-,0.3,0.1,-,0.6,0.3,0.1,0.4,0.3,0.5,-,-,-,-,0.4,0.3,-,0.3,0.1,8.6,0.3,0.6,5.8,1.8,0.4,0.1,-,-,-,-,0.1,-,-,0.1,0.7,0.1,0.8,Rui Modesto,2(15),397,-,-,1,-,0.1,71.2,0.4,-,6.22
480,Jean Onana,Genoa,25 years old (08-01-2000),189cm,Cameroon,Defensive Midfielder (C),1.7,0.7,1,-,-,-,-,-,-,-,-,0.1,0.4,-,-,1,0.3,0.1,0.4,0.1,0.9,-,-,-,-,0.3,0.3,-,0.3,-,12,0.4,0.9,9.4,1.3,0.7,0.7,-,-,-,-,0.1,0.1,-,-,1.3,0.4,1.7,Jean Onana,1(6),185,-,-,-,-,0.1,82.1,0.7,-,6.22
481,Vasilije Adzic,Juventus,18 years old (12-05-2006),185cm,Montenegro,Midfielder,1.3,0.7,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,-,0.3,-,0.3,-,-,-,-,-,-,-,-,-,5.3,-,-,4,1.3,-,0.3,-,-,-,-,0.3,0.3,-,-,0.7,0.3,1,Vasilije Adzic,0(3),24,-,-,-,-,0.3,75,0.7,-,6.22
482,Cyril Ngonge,Napoli,24 years old (26-05-2000),179cm,Belgium,"Attacking Midfielder (Centre, Right), Forward",0.5,0.3,0.3,-,-,-,-,-,-,-,-,-,0.2,0.1,-,0.3,0.9,0.5,1.3,0.9,0.5,-,-,-,-,0.1,0.2,0.1,0.1,0.1,4.5,0.1,0.1,3.8,0.6,0.3,0.5,-,-,-,-,0.8,0.4,-,0.4,0.5,0.1,0.7,Cyril Ngonge,1(14),186,-,-,2,-,0.8,85.3,0.3,-,6.22
484,Oier Zarraga,Udinese,26 years old (04-01-1999),175cm,Spain,"Defensive Midfielder (C), Midfielder (Right)",0.8,0.2,0.6,-,-,-,-,-,-,-,0.2,-,0.2,-,-,0.3,0.2,0.1,0.3,0.3,0.5,-,-,-,-,0.1,0.3,-,0.3,-,10.9,0.4,0.3,9.2,1,0.4,0.2,-,-,-,-,0.2,0.2,-,-,0.8,0.6,1.3,Oier Zarraga,6(12),643,-,-,-,-,0.2,87.8,0.2,-,6.21
485,John Yeboah,Venezia,24 years old (23-06-2000),170cm,Ecuador,"Attacking Midfielder (Right), Forward",0.4,0.2,0.3,-,-,-,-,-,-,-,-,-,0.1,0.2,-,0.1,1,0.7,1.7,0.6,0.4,-,-,-,-,0.1,0.6,0.1,0.5,0.1,8.3,0.1,0.1,6.2,1.8,1.3,0.8,-,-,-,-,0.8,0.3,0.1,0.4,0.1,0.3,0.4,John Yeboah,7(22),906,1,1,6,-,0.8,76.8,0.2,-,6.21
486,Daniel Maldini,Atalanta,23 years old (11-10-2001),188cm,Italy,"Attacking Midfielder (Centre, Left), Forward",1.5,1,0.5,-,-,-,-,-,-,-,-,-,0.2,-,-,-,1,0.5,1.5,1,0.2,-,-,-,-,-,-,-,-,0.2,7.2,0.2,-,4,3,0.3,0.5,-,-,-,-,0.5,0.2,-,0.3,0.2,-,0.2,Daniel Maldini,0(6),118,-,-,-,-,0.5,58.1,1,-,6.21
487,Reda Belahyane,Lazio,20 years old (01-06-2004),169cm,France,Defensive Midfielder (C),0.3,0.3,-,-,-,-,-,-,-,-,0.3,-,0.2,-,0.2,0.8,0.5,0.5,1,0.2,0.7,-,-,-,-,0.2,-,-,-,-,15.5,0.5,0.5,13.5,1,1,0.3,-,-,-,-,-,-,-,-,1.3,-,1.3,Reda Belahyane,1(5),191,-,-,-,1,-,90.3,0.3,-,6.21
488,Jonas Rouhi,Juventus,21 years old (07-01-2004),183cm,Sweden,Defender,0.8,-,0.8,-,-,-,-,-,-,-,-,0.2,0.4,-,-,0.2,0.6,0.4,1,0.4,0.8,-,-,-,-,0.6,-,-,-,-,27.4,0.4,1.8,21.2,4,1,1,-,-,-,-,-,-,-,-,0.8,0.2,1,Jonas Rouhi,1(4),208,-,-,-,-,-,78.8,-,-,6.21
489,Nicolas Haas,Empoli,29 years old (23-01-1996),178cm,Switzerland,Defensive Midfielder (C),0.8,0.3,0.5,-,-,-,-,-,-,-,0.1,0.1,0.1,0.1,-,0.5,0.1,-,0.1,0.3,1.1,-,-,-,-,0.4,0.2,-,0.2,-,11.9,0.2,0.8,9.6,1.3,0.3,0.3,-,-,-,-,0.1,0.1,-,-,1.1,0.4,1.5,Nicolas Haas,2(8),281,-,-,1,-,0.1,82.4,0.3,-,6.21
490,Davide Faraoni,Verona,33 years old (25-10-1991),180cm,Italy,"Defender (Right), Midfielder (Right)",1.1,0.1,1,-,-,-,-,-,-,-,0.3,0.1,0.4,0.1,-,1.2,0.1,-,0.1,0.1,0.8,-,-,-,-,0.2,0.2,-,0.2,0.2,7.6,0.1,0.7,5.4,1.3,0.3,-,-,-,-,-,0.1,-,0.1,-,1.1,0.7,1.8,Davide Faraoni,4(5),258,-,-,1,-,0.1,73.5,0.1,-,6.21
491,Mohamed Kaba,Lecce,23 years old (27-10-2001),185cm,France,Midfielder (Centre),1.5,0.7,0.8,-,-,-,-,-,-,-,0.3,-,0.6,0.1,-,0.8,0.3,0.1,0.4,0.7,0.4,-,-,-,-,0.3,0.1,-,0.1,-,11.8,0.3,0.4,9,2,0.9,0.4,-,-,-,-,0.3,-,-,0.3,1,0.1,1.1,Mohamed Kaba,1(11),337,-,-,1,-,0.3,79.4,0.7,-,6.21
493,Honest Ahanor,Genoa,17 years old (23-02-2008),184cm,Italy,Defender,0.8,0.3,0.5,-,-,-,-,-,-,-,-,-,0.3,-,-,0.8,0.3,-,0.3,1.3,-,-,-,-,-,-,0.3,-,0.3,-,9.5,0.5,0.5,6.3,2.3,1.3,0.3,-,-,-,-,0.5,-,-,0.5,1,0.5,1.5,Honest Ahanor,2(2),174,-,-,-,-,0.5,71.1,0.3,-,6.2
494,Nicolò Zaniolo,Fiorentina,25 years old (02-07-1999),190cm,Italy,"Attacking Midfielder (Centre, Left, Right), Forward",1.6,0.4,1.3,-,-,-,-,-,-,-,0.1,-,0.1,0.3,-,0.1,1.1,0.8,1.9,1.8,1.4,-,-,-,-,-,0.4,-,0.4,0.4,7,0.4,0.1,4.9,1.6,1.8,1.1,-,-,-,-,1,0.6,-,0.4,0.3,0.3,0.5,Nicolò Zaniolo,3(5),281,-,-,2,-,1,75,0.4,-,6.2
496,Kevin Martins,Monza,20 years old (31-01-2005),180cm,Italy,Forward,0.3,0.2,0.1,0.1,-,-,-,-,-,0.1,-,0.2,0.1,0.1,-,0.2,0.2,0.4,0.7,0.4,0.3,-,-,-,-,0.1,0.2,-,0.2,-,5,0.1,0.1,3.6,1.2,0.9,0.1,-,-,-,-,-,-,-,-,0.6,0.3,0.9,Kevin Martins,1(8),178,-,1,1,-,-,73.3,0.2,-,6.2
497,Jeff Ekhator,Genoa,18 years old (11-11-2006),190cm,Italy,Forward,2.2,0.7,1.5,-,-,-,-,-,-,-,-,-,0.4,-,-,0.2,0.4,0.2,0.6,0.5,0.6,-,-,-,-,0.1,0.5,-,0.5,0.1,6.6,0.1,-,4.6,1.9,1.5,0.4,-,-,-,-,0.5,0.1,-,0.4,0.3,0.2,0.5,Jeff Ekhator,6(16),728,1,1,1,-,0.5,71.2,0.7,-,6.2
498,Joël Schingtienne,Venezia,22 years old (14-08-2002),188cm,Belgium,"Defender (Centre, Right)",1,0.3,0.7,-,-,-,-,-,-,-,0.5,-,0.7,0.2,-,1.4,0.3,0.4,0.8,0.1,0.4,-,-,-,-,0.9,0.2,-,0.2,-,25.5,0.5,0.8,21.5,2.8,1.2,0.3,-,-,-,-,-,-,-,-,1.7,0.5,2.2,Joël Schingtienne,8(4),781,-,-,2,-,-,86.3,0.3,-,6.2
499,Alphadjo Cissè,Verona,18 years old (22-10-2006),178cm,,Forward,0.5,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,-,-,-,-,-,-,-,-,-,4,-,-,3,1,-,-,-,-,-,-,1,1,-,-,-,-,-,Alphadjo Cissè,0(2),7,-,-,-,-,1,75,0.5,-,6.2
500,Cher Ndour,Fiorentina,20 years old (27-07-2004),190cm,Italy,Defensive Midfielder (C),4.6,2.2,2.4,-,-,-,-,-,-,-,0.2,-,0.6,-,-,0.8,0.4,-,0.4,1.2,0.6,-,-,-,-,0.4,0.2,-,0.2,-,23.6,0.2,0.4,18.4,4.6,0.6,0.8,-,-,-,-,0.2,-,-,0.2,0.6,1,1.6,Cher Ndour,2(3),245,-,-,-,-,0.2,78.8,2.2,-,6.19
502,Junior Sambia,Empoli,28 years old (07-09-1996),185cm,France,"Defender (Right), Midfielder (Centre, Left, Right)",0.8,0.4,0.4,-,-,-,-,-,-,-,-,0.1,0.1,-,-,0.2,0.5,0.3,0.8,0.2,0.2,-,-,-,-,0.1,0.3,0.1,0.1,-,6.5,0.3,0.4,4.4,1.4,0.5,0.4,-,-,-,-,0.5,0.3,-,0.2,0.9,-,0.9,Junior Sambia,2(12),311,-,-,-,-,0.5,71.4,0.4,-,6.19
503,Lior Kassa,Genoa,19 years old (27-09-2005),185cm,Israel,Midfielder,0.6,0.1,0.4,-,-,-,-,-,-,-,0.1,-,0.4,0.3,-,0.3,0.6,0.1,0.7,0.4,0.6,-,-,-,-,0.3,0.3,0.1,0.1,-,8.6,1,0.7,6.3,0.6,0.9,0.1,-,-,-,-,0.7,0.3,0.1,0.3,0.6,0.4,1,Lior Kassa,2(5),205,-,-,2,-,0.7,85,0.1,-,6.19
504,Daniele Baselli,Como,33 years old (12-03-1992),182cm,Italy,Midfielder (Centre),0.5,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-,0.5,-,-,-,0.5,-,-,-,-,-,0.5,-,-,-,-,13.5,0.5,-,11.5,1.5,0.5,-,-,-,-,-,-,-,-,-,-,-,-,Daniele Baselli,1(1),23,-,-,-,-,-,88.9,-,-,6.19
505,Iker Bravo,Udinese,20 years old (13-01-2005),182cm,Spain,Forward,1.4,0.4,1,-,-,-,-,-,-,-,-,-,0.1,0.1,-,0.1,0.7,0.4,1,0.4,0.5,0.1,-,-,-,-,0.2,-,0.2,-,6.5,0.2,0.1,5.2,0.9,1.1,0.5,-,-,-,-,0.5,0.2,-,0.3,0.3,0.2,0.5,Iker Bravo,4(22),620,2,1,3,-,0.5,83.9,0.4,-,6.19
506,Adrien Tameze,Torino,31 years old (04-02-1994),180cm,France,"Defender (Centre), Midfielder (Centre)",1,0.6,0.4,-,-,-,-,-,-,-,0.3,0.2,0.2,0.2,-,0.2,0.6,0.2,0.8,0.2,0.4,-,-,-,-,0.5,0.3,-,0.3,-,14.5,0.6,0.2,12.2,1.6,0.5,0.2,-,-,-,-,0.4,0.1,0.1,0.2,0.3,0.5,0.7,Adrien Tameze,9(11),648,-,-,3,-,0.4,87.9,0.6,-,6.18
507,Giovanni Fabbian,Bologna,22 years old (14-01-2003),186cm,Italy,Attacking Midfielder (Centre),1.9,0.6,1.2,-,-,-,-,-,-,-,0.1,-,0.2,0.1,-,0.1,0.4,-,0.5,0.8,0.8,0.1,-,0.1,-,0.1,0.3,-,0.3,-,6.3,0.1,0.2,4.6,1.4,1.1,0.6,-,-,-,-,0.7,-,0.1,0.6,0.4,0.2,0.6,Giovanni Fabbian,8(20),951,3,1,2,-,0.7,74.6,0.6,-,6.18
509,Lorenzo Anghelè,Juventus,20 years old (26-02-2005),,,Forward,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,4,1,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lorenzo Anghelè,0(1),5,-,-,-,-,-,100,-,-,6.18
