,Club,Age,Height,National,Positions,TotAD,WonAD,LostAD,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss,TotAss,BlkSh,BlkCr,BlkPs,YelC,RedC,TotClr,UnDrib,SucDrib,TotDrib,Fouled,Fouls,TotGs,SYBGs,PAGs,OOBGs,TotInt,TotKPs,LKPs,SKPs,COF,TotPs,AccLB,InAccLB,AccSP,InAccSP,UnTch,Dispo,TotSav,SYBSav,PASav,OOBSav,TotSh,OOBSh,SYBSh,PASh,TotTkl,DribPast,TotAttTkl,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,League,Unnamed: 0,CLB,Main_position,Foot,Contract,Market_Value
382,Toulouse,24 years old (11-11-2000),"1,77m",Norway,"Defender (Right), Midfielder (Right)",0.2,0.2,-,-,-,-,-,-,-,-,-,0.2,0.1,0.1,-,0.7,0.4,0.5,0.9,0.4,0.6,-,-,-,-,0.3,0.4,-,0.4,-,15.2,0.1,0.4,12.5,2.2,0.6,0.4,-,-,-,-,0.2,-,-,0.1,1.2,0.6,1.8,Warren Kamanzi,8(13),787,-,1,3,-,0.2,82.8,0.2,-,6.38,Ligue1,141,FC Toulouse,Right-Back,right,"Jun 30, 2026",€2.00m
383,Paris Saint-Germain,19 years old (08-03-2006),"1,78m",France,"Defender (Right), Defensive Midfielder (C), Midfielder (Right)",0.8,0.3,0.5,-,-,-,-,-,-,-,0.2,0.1,1,0.1,-,0.7,0.7,0.7,1.4,0.7,0.7,-,-,-,-,0.7,0.5,0.1,0.5,-,56.4,1.1,0.7,51.3,3.2,1.3,1,-,-,-,-,0.6,0.3,-,0.3,1.7,0.7,2.4,Warren Zaire Emery,21(5),1842,1,1,3,-,0.6,93,0.3,-,6.73,Ligue1,322,Paris Saint-Germain,Central Midfield,right,"Jun 30, 2029",€60.00m
384,Lens,30 years old (19-04-1995),"1,71m",France,"Attacking Midfielder (Centre, Left, Right), Forward",1.2,0.5,0.8,-,-,-,-,-,-,-,-,-,0.3,0.1,-,0.1,0.5,0.4,0.9,0.2,1,0.1,-,0.1,-,0.1,0.4,-,0.4,0.3,10.6,0.1,0.2,8.5,1.8,0.8,0.4,-,-,-,-,0.8,-,0.1,0.6,0.7,0.3,1,Wesley Said,11(11),894,3,-,3,-,0.8,80.7,0.5,1,6.32,Ligue1,354,RC Lens,Centre-Forward,right,"Jun 30, 2026",€3.50m
385,Monaco,24 years old (25-12-2000),"1,90m",Ivory Coast,"Defender (Centre, Right), Midfielder (Right)",3.2,2,1.1,-,-,-,-,-,0.1,0.1,0.2,0.1,0.3,0.2,-,4,0.2,0.3,0.5,1.3,1.3,-,-,-,-,1.8,0.3,-,0.3,0.1,51.3,2.3,3.3,42,3.6,0.5,0.3,-,-,-,-,0.7,0.1,0.2,0.4,1.3,0.3,1.7,Wilfried Singo,20(4),1823,1,2,4,-,0.7,86.5,2,1,6.91,Ligue1,56,AS Monaco,Centre-Back,right,"Jun 30, 2028",€25.00m
386,Paris Saint-Germain,23 years old (16-10-2001),"1,87m",Ecuador,Defender (Centre),2,1,1,-,-,-,-,-,-,-,0.8,0.1,0.5,0.1,-,3.1,0.2,-,0.2,0.3,0.7,-,-,-,-,1.5,0.1,-,0.1,-,69.4,1.4,1.6,64.4,2,0.6,0.1,-,-,-,-,0.1,-,-,0.1,2,0.3,2.4,Willian Pacho,22(5),2041,-,1,2,-,0.1,94.9,1,-,6.88,Ligue1,312,Paris Saint-Germain,Centre-Back,left,"Jun 30, 2029",€45.00m
387,Angers,24 years old (21-08-2000),"1,94m",Ivory Coast,Goalkeeper,0.4,0.3,0.1,-,-,-,-,-,-,-,-,-,-,0.1,-,0.9,-,0.1,0.1,0.3,-,-,-,-,-,-,-,-,-,-,25,5.7,9.1,10.1,0.1,-,-,4.2,0.2,2.7,1.3,-,-,-,-,-,0.1,0.1,Yahia Fofana,31,2790,-,-,4,-,-,63.2,0.3,1,6.87,Ligue1,26,Angers SCO,Goalkeeper,right,"Jun 30, 2026",€6.00m
388,Le Havre,27 years old (28-04-1998),"1,83m",,Defender (Left),0.7,0.5,0.3,0.1,0.1,-,-,-,-,0.1,0.1,0.5,0.8,0.2,-,2.4,0.3,0.9,1.2,0.8,0.5,-,-,-,-,0.5,1.7,0.9,0.9,0.1,25.1,1.4,2.7,17.4,3.6,1.1,0.2,-,-,-,-,0.3,0.3,-,-,1.2,0.3,1.5,Yanis Zouaoui,9(6),945,-,2,3,-,0.3,74.8,0.5,2,6.81,Ligue1,161,Le Havre AC,Left-Back,left,"Jun 30, 2027",€800k
389,Toulouse,24 years old (14-01-2001),"1,78m",Ivory Coast,"Attacking Midfielder (Centre, Left), Forward",1.2,0.2,1,-,-,-,-,-,0.1,0.1,-,-,0.7,0.1,-,0.1,2.3,1.7,4,2.1,0.5,0.1,-,-,-,0.2,1,0.1,0.9,-,19.3,0.2,0.3,14.9,3.9,2.1,1.7,-,-,-,-,1.6,0.4,-,1.2,0.9,0.6,1.5,Yann Gboho,24(4),2076,2,3,2,-,1.6,78.1,0.2,3,6.66,Ligue1,149,FC Toulouse,Left Winger,right,"Jun 30, 2026",€8.00m
390,Angers,23 years old (14-02-2002),"1,75m",France,Midfielder (Centre),0.7,0.2,0.5,-,-,-,-,-,-,-,0.2,-,0.6,0.1,-,1.2,0.4,0.1,0.5,0.6,0.9,-,-,-,-,0.7,0.1,-,0.1,-,15.9,0.4,0.5,12.8,2.1,1,0.5,-,-,-,-,0.3,-,-,0.2,1.9,1,2.9,Yassin Belkhdim,14(13),1341,1,-,3,-,0.3,83.2,0.2,-,6.31,Ligue1,41,Angers SCO,Central Midfield,right,"Jun 30, 2027",€800k
391,Le Havre,23 years old (25-02-2002),"1,74m",Morocco,Midfielder (Centre),1.3,0.4,1,-,-,-,-,-,-,-,0.1,-,0.8,0.1,-,0.9,0.6,0.4,1,1,1.3,0.1,-,-,-,0.7,0.5,0.1,0.5,0.1,22.5,1,0.5,17.5,3.5,1.2,0.9,-,-,-,-,1,0.7,-,0.2,1.8,1.3,3.1,Yassine Kechta,22(6),1863,2,-,4,-,1,82.4,0.4,-,6.47,Ligue1,169,Le Havre AC,Central Midfield,left,"Jun 30, 2026",€5.00m
392,Reims,20 years old (12-06-2004),"1,80m",Mali,Midfielder (Centre),1.2,0.3,0.8,0.1,-,-,-,-,-,0.1,0.2,-,0.8,0.3,-,0.2,0.7,1.2,1.8,0.6,1.3,0.1,-,0.1,-,0.3,0.6,0.1,0.5,-,18.8,0.4,0.6,14.1,3.8,1.2,0.7,-,-,-,-,1.1,0.6,-,0.5,1.4,0.7,2.1,Yaya Fofana,8(4),638,1,1,4,-,1.1,77,0.3,-,6.65,Ligue1,424,Stade Reims,Central Midfield,right,"Jun 30, 2029",€5.00m
393,Nice,19 years old (06-07-2005),"1,85m",France,Defender,1.7,1,0.7,-,-,-,-,-,-,-,0.3,-,1,-,-,2.3,-,0.3,0.3,0.7,2,-,-,-,-,1.3,0.7,-,0.7,-,16.3,-,2,12.3,2,0.3,-,-,-,-,-,0.3,-,-,0.3,1.3,1.3,2.7,Yael Nandjou,2(1),155,-,-,-,-,0.3,75.5,1,-,6.29,Ligue1,241,OGC Nice,Left-Back,left,"Jun 30, 2025",€150k
394,Reims,25 years old (16-11-1999),"1,90m",France,Goalkeeper,0.3,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,0.1,0.1,0.1,-,-,-,-,-,-,-,-,-,-,31.8,5.8,10.4,15.3,0.4,-,-,4.1,0.4,2.5,1.2,-,-,-,-,0.1,0.1,0.1,Yehvann Diouf,31,2790,-,-,1,-,-,66.1,0.3,1,7.01,Ligue1,409,Stade Reims,Goalkeeper,right,"Jun 30, 2027",€9.00m
395,Paris Saint-Germain,18 years old (15-05-2006),"1,68m",,Defender,0.7,0.3,0.3,-,-,-,-,-,-,-,-,-,0.7,-,-,0.7,-,0.3,0.3,-,0.7,-,-,-,-,0.7,0.3,-,0.3,-,48,0.3,0.3,45.7,1.7,-,-,-,-,-,-,0.3,-,-,0.3,1.3,0.3,1.7,Yoram Zague,2(1),162,-,-,-,-,0.3,95.8,0.3,-,6.4,Ligue1,319,Paris Saint-Germain,Right-Back,right,"Jun 30, 2028",€2.50m
396,Nice,26 years old (27-10-1998),"1,83m",Burundi,"Defender (Centre), Defensive Midfielder (C)",2.8,1.6,1.2,-,-,-,-,-,-,-,0.8,0.1,0.7,0.2,-,5,0.1,0.3,0.3,0.6,0.8,0.1,-,0.1,-,0.9,0.2,0.1,0.1,-,56.7,1.7,2.8,49.3,2.9,0.6,0.3,-,-,-,-,0.5,0.1,-,0.3,1.7,0.5,2.2,Youssouf Ndayishimiye,22(1),1934,3,-,5,-,0.5,89.9,1.6,-,6.92,Ligue1,234,OGC Nice,Centre-Back,right,"Jun 30, 2027",€12.00m
397,Nice,20 years old (20-11-2004),"1,79m",Germany,Forward,0.2,0.2,-,-,-,-,-,-,0.1,0.1,-,-,0.2,-,-,-,0.5,0.2,0.6,0.4,0.1,0.2,0.1,0.1,-,-,0.5,-,0.5,0.5,3.9,-,-,3.2,0.7,0.3,0.4,-,-,-,-,0.5,0.1,0.2,0.3,0.3,0.1,0.4,Youssoufa Moukoko,2(9),202,2,1,-,-,0.5,81.4,0.2,1,6.36,Ligue1,256,OGC Nice,Centre-Forward,left,"Jun 30, 2025",€10.00m
398,Saint-Etienne,37 years old (28-09-1987),"1,90m",Morocco,Defender (Centre),2,1.3,0.7,-,-,-,-,-,-,-,1.2,0.1,0.5,0.1,-,3.9,0.3,0.2,0.5,0.4,1.1,-,-,-,-,0.9,0.1,-,0.1,-,33.2,0.7,1.8,28.2,2.5,0.5,0.2,-,-,-,-,0.1,-,0.1,0.1,1.1,0.4,1.5,Yunis Abdelhamid,11(4),1026,-,-,2,-,0.1,86.9,1.3,-,6.31,Ligue1,85,AS Saint-Étienne,Centre-Back,left,"Jun 30, 2025",€500k
399,Saint-Etienne,26 years old (01-10-1998),"1,76m",France,"Defender (Left, Right), Midfielder (Right)",1.5,0.3,1.2,-,-,-,-,-,-,-,0.5,0.1,0.9,0.4,-,0.8,1.3,0.9,2.2,0.7,2.3,-,-,-,-,0.2,0.5,-,0.5,0.1,32.1,1.9,2.1,23.2,4.9,1.3,0.4,-,-,-,-,0.9,0.5,-,0.5,2,1,3,Yvann Macon,10(1),795,-,-,4,-,0.9,78.2,0.3,-,6.24,Ligue1,89,AS Saint-Étienne,Right-Back,right,"Jun 30, 2025",€2.00m
400,Toulouse,25 years old (18-02-2000),"1,79m",Morocco,"Attacking Midfielder (Centre, Left, Right), Forward",2.6,1,1.7,-,-,-,-,-,0.1,0.1,-,-,0.6,0.2,-,0.3,1.4,0.5,1.9,1,1.4,0.3,0.1,0.2,-,0.3,0.5,-,0.5,0.5,12.4,0.1,0.1,8.5,3.8,2.6,1,-,-,-,-,2.5,0.5,0.4,1.7,0.8,0.7,1.5,Zakaria Aboukhlal,22(2),1859,7,2,4,-,2.5,68.8,1,1,6.55,Ligue1,150,FC Toulouse,Right Winger,both,"Jun 30, 2026",€12.00m
401,Angers,32 years old (01-03-1993),"1,80m",Algeria,"Midfielder (Left, Right)",1.5,0.7,0.8,-,-,-,-,-,-,-,-,-,0.4,-,-,0.5,0.5,0.4,0.9,0.6,0.5,0.1,-,-,0.1,0.4,0.7,0.2,0.4,0.1,16,0.8,0.6,11.3,3.3,0.9,0.7,-,-,-,-,0.5,0.3,-,0.3,0.4,0.4,0.8,Zinedine Ferhat,7(16),822,2,-,1,-,0.5,75.5,0.7,-,6.39,Ligue1,46,Angers SCO,Right Winger,right,"Jun 30, 2025",€1.20m
402,Angers,25 years old (14-01-2000),"1,95m",France,Defender,0.7,0.1,0.6,-,-,-,-,-,-,-,-,-,0.6,0.1,-,0.9,0.4,-,0.4,0.3,1,-,-,-,-,0.3,-,-,-,-,14.3,0.4,0.1,12.4,1.3,0.4,0.3,-,-,-,-,-,-,-,-,1,1.3,2.3,Zinedine Ould Khaled,3(4),247,-,-,1,-,-,90,0.1,-,6.03,Ligue1,39,Angers SCO,Defensive Midfield,right,"Jun 30, 2025",€300k
403,Saint-Etienne,24 years old (15-02-2001),"1,75m",Georgia,"Attacking Midfielder (Centre, Left, Right)",1.9,0.5,1.4,0.1,-,-,-,-,0.1,0.2,-,-,0.7,0.1,-,0.4,2.3,1.6,3.9,1.2,0.6,0.3,-,0.2,0.1,0.4,1.5,0.1,1.3,0.1,25.6,0.3,0.4,20.9,4,2.2,1.7,-,-,-,-,2.1,1,-,1.1,0.7,1.1,1.8,Zuriko Davitashvili,29(1),2524,8,7,2,-,2.1,82.9,0.5,2,6.86,Ligue1,100,AS Saint-Étienne,Right Winger,right,"Jun 30, 2028",€10.00m
404,Le Havre,20 years old (06-05-2004),"1,88m",France,Forward,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,3,1,-,3,-,-,-,-,1,-,1,-,-,-,-,Elysee Logbo,0(1),26,-,-,-,-,1,75,-,-,5.67,Ligue1,179,Le Havre AC,Centre-Forward,left,"Jun 30, 2027",€600k
405,Strasbourg,19 years old (27-09-2005),"1,74m",Colombia,Forward,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,4,-,-,4,-,1,-,-,-,-,-,-,-,-,-,-,-,-,Oscar Perea,0(1),6,-,-,-,-,-,100,-,-,6.13,Ligue1,376,RC Strasbourg Alsace,Left Winger,right,"Jun 30, 2029",€2.50m
406,Toulouse,21 years old (06-10-2003),"1,92m",Turkey,Defender (Centre),3.7,2.6,1.1,-,-,-,-,-,-,-,1.1,-,0.3,0.3,-,2.4,-,0.1,0.1,0.1,1.1,-,-,-,-,1.6,0.3,0.1,0.1,-,45.7,1,3.3,35.6,5.9,0.1,-,-,-,-,-,0.3,0.1,-,0.1,1.1,1,2.1,Umit Akdag,6(1),496,-,-,2,-,0.3,80,2.6,-,6.45,Ligue1,139,FC Toulouse,Centre-Back,left,"Jun 30, 2025",€800k
407,Monaco,29 years old (06-04-1996),"1,89m",Libya,Defensive Midfielder (C),2.4,1.9,0.6,-,-,-,-,-,0.1,0.1,0.1,0.1,0.2,-,-,0.8,0.2,0.2,0.4,0.3,0.6,-,-,-,-,0.4,0.6,0.1,0.4,-,31.7,2.1,1.2,25.7,2.7,0.3,0.2,-,-,-,-,1.1,0.6,-,0.6,1.6,0.4,2,Al Musrati,3(6),355,-,1,-,-,1.1,87.7,1.9,-,6.73,Ligue1,66,AS Monaco,Defensive Midfield,right,"Jun 30, 2025",€10.00m
408,Rennes,22 years old (12-09-2002),"1,71m",Colombia,Attacking Midfielder (Right),0.5,0.1,0.3,-,-,-,-,-,-,-,-,-,0.4,0.1,-,0.1,0.9,0.5,1.4,0.1,0.7,0.1,-,0.1,-,0.1,0.3,-,0.3,0.1,6,-,0.1,5.2,0.7,0.7,0.4,-,-,-,-,0.5,0.2,-,0.3,0.5,0.4,0.9,Andres Gomez,2(13),343,2,-,1,-,0.5,86.7,0.1,1,6.3,Ligue1,459,Stade Rennais FC,Right Winger,right,"Jun 30, 2029",€5.00m
409,Paris Saint-Germain,21 years old (24-11-2003),"1,86m",,"Defender (Centre, Left)",2.9,2,0.9,-,-,-,-,-,-,-,0.3,0.1,0.3,0.2,-,2.5,-,-,-,0.4,0.9,-,-,-,-,0.9,0.3,0.1,0.2,-,85.9,2.9,1.4,78.5,3.1,0.4,0.1,-,-,-,-,0.5,0.1,-,0.4,1.6,0.6,2.2,Beraldo,20(2),1815,1,-,5,-,0.5,94.8,2,-,6.79,Ligue1,314,Paris Saint-Germain,Centre-Back,left,"Jun 30, 2028",€25.00m
410,Montpellier,32 years old (06-06-1992),"1,82m",Mali,Defensive Midfielder (C),1,0.5,0.5,-,-,-,-,-,-,-,0.3,-,0.1,0.4,-,0.9,-,-,-,0.6,0.3,-,-,-,-,0.8,0.4,0.1,0.3,-,15.4,0.6,1.1,12,1.6,0.8,-,-,-,-,-,0.4,0.3,-,0.1,1,0.3,1.3,Birama Toure,2(6),298,-,-,3,-,0.4,82.1,0.5,-,6.15,Ligue1,160,Le Havre AC,Left-Back,left,"Jun 30, 2025",€1.50m
411,Auxerre,25 years old (16-02-2000),"1,77m",Ivory Coast,"Attacking Midfielder (Centre, Left, Right)",1.3,0.5,0.8,-,-,-,-,-,-,0.1,-,-,0.6,0.2,-,0.5,2.7,1.3,4,1.6,1.3,0.4,0.1,0.3,-,0.3,1.1,0.3,0.8,0.3,21.4,0.9,0.7,15.7,4,2.8,2,-,-,-,-,2.7,1.2,0.3,1.3,1.7,1.5,3.3,Hamed Traore,24,1967,10,2,5,-,2.7,77.8,0.5,3,7.0,Ligue1,17,AJ Auxerre,Attacking Midfield,right,"Jun 30, 2025",€18.00m
412,Lille,22 years old (10-04-2003),"1,78m",,"Attacking Midfielder (Centre, Left, Right), Forward",0.6,0.1,0.5,-,-,-,-,-,0.1,0.1,-,-,0.4,0.1,-,0.2,0.8,1.1,1.9,1.2,0.7,0.2,-,0.2,-,0.3,1.5,0.1,1.3,0.1,35.9,1.1,0.6,28.5,5.7,1.8,0.5,-,-,-,-,1.5,0.5,-,0.9,1.5,0.7,2.2,Hakon Haraldsson,18(4),1539,5,3,3,-,1.5,82.5,0.1,2,6.93,Ligue1,200,LOSC Lille,Attacking Midfield,right,"Jun 30, 2028",€15.00m
413,Nice,20 years old (02-02-2005),"1,97m",,Midfielder (Centre),0.3,-,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,-,0.3,0.5,-,-,-,-,-,0.8,-,-,-,-,4,-,-,3.8,0.3,0.3,-,-,-,-,-,-,-,-,-,0.5,0.3,0.8,Issiaga Camara,0(4),16,-,-,-,-,-,93.8,-,-,6.08,Ligue1,31,Angers SCO,Centre-Back,right,"Jun 30, 2026",€500k
414,Montpellier,20 years old (29-03-2005),"1,79m",U.A.E.,Forward,1.4,0.4,1,-,-,-,-,-,-,-,0.1,-,-,-,-,0.2,0.2,-,0.2,0.5,0.6,-,-,-,-,-,0.2,-,0.2,0.3,4,-,-,2.6,1.4,0.6,0.2,-,-,-,-,0.3,0.1,0.1,0.1,0.1,0.1,0.2,Junior Ndiaye,2(10),256,-,-,-,-,0.3,64.6,0.4,-,6.03,Ligue1,167,Le Havre AC,Defensive Midfield,right,"Jun 30, 2026",€2.50m
415,Angers,20 years old (25-12-2004),"1,71m",France,Defender (Left),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,0.5,0.5,1,0.5,-,-,-,-,-,0.5,-,-,-,-,5,-,-,4.5,0.5,1,1,-,-,-,-,0.5,0.5,-,-,-,-,-,Justin Noel Kalumba,0(2),29,-,-,-,-,0.5,90,-,-,6.11,Ligue1,47,Angers SCO,Right Winger,left,"Jun 30, 2026",€600k
416,Monaco,21 years old (21-04-2004),"1,76m",France,Midfielder,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,1,1,-,-,-,-,-,-,-,-,-,4,-,-,3,1,1,-,-,-,-,-,1,1,-,-,1,-,1,Mamadou Coulibaly,0(1),7,-,-,-,-,1,75,-,-,6.29,Ligue1,21,AJ Auxerre,Right Winger,right,"Jun 30, 2028",€1.50m
417,Rennes,17 years old (11-10-2007),"1,84m",,Forward,2.2,1.2,1,-,-,-,-,-,-,-,-,-,0.1,-,-,0.4,0.9,0.1,1,0.6,1.3,0.2,0.1,0.1,-,-,0.5,-,0.5,0.3,7.6,0.2,-,5,2.4,1.7,1.3,-,-,-,-,1.2,0.1,0.2,0.9,0.1,-,0.1,Mohamed Meite,4(6),446,2,-,-,-,1.2,68.4,1.2,-,6.33,Ligue1,210,Montpellier HSC,Centre-Back,right,"Jun 30, 2025",€5.00m
418,Reims,19 years old (16-12-2005),"1,92m",Mali,Forward,1,0.3,0.8,-,-,-,-,-,-,-,-,-,0.3,-,-,-,0.5,-,0.5,-,0.8,-,-,-,-,-,-,-,-,-,2.8,0.3,-,1.5,1,1,0.5,-,-,-,-,0.8,-,-,0.8,-,-,-,Niama Sissoko,0(4),45,-,-,-,-,0.8,63.6,0.3,-,5.91,Ligue1,103,AS Saint-Étienne,Centre-Forward,right,"Jun 30, 2026",€2.00m
419,Lens,19 years old (12-02-2006),"1,94m",,Forward,0.5,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,-,0.5,0.5,0.5,-,-,-,-,-,-,-,-,-,4,-,-,2.5,1.5,0.5,-,-,-,-,-,-,-,-,-,1,-,1,Rayan Fofana,0(2),24,-,-,-,-,-,62.5,-,-,6.17,Ligue1,26,Angers SCO,Goalkeeper,right,"Jun 30, 2026",€6.00m
420,Brest,19 years old (12-05-2005),"1,73m",Senegal,Forward,-,-,-,-,-,-,-,-,-,-,-,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-,-,0.5,-,0.5,Saliou Diop,0(2),3,-,-,-,-,-,100,-,-,6.05,Ligue1,68,AS Monaco,Central Midfield,right,"Jun 30, 2028",€1.50m
421,Strasbourg,18 years old (18-07-2006),"1,74m",,Forward,0.5,-,0.5,-,-,-,-,-,-,-,-,-,0.5,-,-,0.2,1.2,0.7,1.8,0.7,0.3,0.3,-,0.3,-,0.3,0.5,-,0.5,-,11.5,-,0.2,10.5,0.8,0.8,0.3,-,-,-,-,1.2,0.3,-,0.8,0.5,0.7,1.2,Sam Amo Ameyaw,2(4),207,2,-,-,-,1.2,91.3,-,-,6.66,Ligue1,378,RC Strasbourg Alsace,Right Winger,left,"Jun 30, 2025",€2.00m
422,Auxerre,20 years old (13-12-2004),"1,88m",France,Midfielder,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,-,-,-,-,1.5,-,-,1,0.5,0.5,-,-,-,-,-,-,-,-,-,-,-,-,Yoann Cisse,0(2),4,-,-,-,-,-,66.7,-,-,6.04,Ligue1,454,Stade Rennais FC,Central Midfield,right,"Jun 30, 2029",€5.00m
