,Club,Age,Height,National,Positions,TotAD,WonAD,LostAD,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss,TotAss,BlkSh,BlkCr,BlkPs,YelC,RedC,TotClr,UnDrib,SucDrib,TotDrib,Fouled,Fouls,TotGs,SYBGs,PAGs,OOBGs,TotInt,TotKPs,LKPs,SKPs,COF,TotPs,AccLB,InAccLB,AccSP,InAccSP,UnTch,Dispo,TotSav,SYBSav,PASav,OOBSav,TotSh,OOBSh,SYBSh,PASh,TotTkl,DribPast,TotAttTkl,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,League,Unnamed: 0,CLB,Main_position,Foot,Contract,Market_Value
323,Marseille,27 years old (13-08-1997),"1,83m",Spain,"Defender (Centre, Right), Midfielder (Left, Right)",0.5,0.2,0.3,0.1,-,-,-,-,-,0.1,0.1,-,0.3,0.1,0.1,0.6,0.1,0.1,0.1,0.5,0.5,0.1,-,0.1,-,0.2,0.4,0.1,0.4,-,17.8,0.1,0.8,15.2,1.7,0.3,0.2,-,-,-,-,0.3,0.1,-,0.2,0.7,0.4,1.2,Pol Lirola,5(13),632,1,2,1,1,0.3,86.3,0.2,-,6.23,Ligue1,294,Olympique Marseille,Right-Back,right,"Jun 30, 2026",€4.00m
324,Paris Saint-Germain,29 years old (13-08-1995),"1,83m",France,Defender (Centre),-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,0.5,-,-,-,0.5,-,-,-,-,-,-,-,-,-,-,9,1,-,8,-,-,-,-,-,-,-,-,-,-,-,0.5,-,0.5,Presnel Kimpembe,0(2),21,-,-,-,-,-,100,-,-,6.25,Ligue1,315,Paris Saint-Germain,Centre-Back,left,"Jun 30, 2026",€8.00m
325,Marseille,22 years old (16-05-2002),"1,74m",France,"Defender (Left), Midfielder (Left)",0.9,0.3,0.6,-,-,-,-,-,0.1,0.1,0.2,0.1,0.6,-,-,0.5,0.6,0.2,0.8,0.7,0.4,-,-,-,-,0.5,1,0.3,0.8,-,36.9,0.5,1,31.6,3.8,0.8,0.4,-,-,-,-,1,0.3,-,0.7,0.8,0.3,1,Quentin Merlin,20(4),1517,1,3,1,-,1,87,0.3,1,6.58,Ligue1,290,Olympique Marseille,Left-Back,left,"Jun 30, 2028",€12.00m
326,Montpellier,19 years old (25-11-2005),"1,83m",,Defensive Midfielder (C),1.6,0.8,0.8,-,-,-,-,-,-,-,0.2,-,0.7,0.4,-,0.8,1,0.8,1.8,1.4,1.3,-,-,-,-,1,0.3,-,0.3,-,21.2,0.8,0.8,16.1,3.6,1,0.7,-,-,-,-,0.7,0.4,-,0.3,2.4,1.2,3.6,Rabby Nzingoula,18(7),1523,1,-,10,-,0.7,79.6,0.8,-,6.51,Ligue1,222,Montpellier HSC,Defensive Midfield,right,"Jun 30, 2025",€2.50m
327,Monaco,25 years old (16-11-1999),"1,93m",Poland,Goalkeeper,0.3,0.3,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.7,-,-,-,0.1,-,-,-,-,-,-,-,-,-,-,22.1,2.4,6.7,12.9,0.1,-,-,2.9,0.1,1.7,1.1,-,-,-,-,-,0.1,0.1,Radoslaw Majecki,15,1350,-,-,1,-,-,69.5,0.3,-,6.57,Ligue1,53,AS Monaco,Goalkeeper,right,"Jun 30, 2028",€7.00m
328,Toulouse,22 years old (28-04-2003),"1,77m",,Midfielder (Right),0.9,0.5,0.4,-,-,-,-,-,0.1,0.1,0.1,0.1,0.6,-,-,0.8,0.5,0.2,0.6,0.6,0.8,-,-,-,-,0.8,0.7,0.2,0.5,0.1,15.5,0.5,0.8,11,3.1,1.1,1.1,-,-,-,-,0.4,0.1,0.1,0.2,1.4,0.1,1.5,Rafik Messali,5(6),419,-,1,-,-,0.4,74.7,0.5,-,6.44,Ligue1,147,FC Toulouse,Right Midfield,right,"Jun 30, 2026",€800k
329,Toulouse,28 years old (16-03-1997),"1,91m",Denmark,Defender (Centre),4.3,3,1.3,-,-,0.1,-,-,-,0.1,0.7,-,0.7,-,-,3.6,0.1,0.1,0.3,1.1,0.6,-,-,-,-,1.4,0.3,0.1,0.1,-,54.9,3.6,2.6,44.7,4,0.1,0.3,-,-,-,-,0.7,-,0.3,0.4,0.9,0.3,1.1,Rasmus Nicolaisen,7,624,-,1,-,-,0.7,88,3,-,6.73,Ligue1,137,FC Toulouse,Centre-Back,left,"Jun 30, 2025",€5.00m
330,Le Havre,23 years old (11-12-2001),"1,79m",France,Midfielder (Centre),1.4,0.6,0.8,-,-,-,-,-,-,-,0.2,-,0.4,0.1,-,1,0.4,0.1,0.5,0.4,0.5,-,-,-,-,0.5,0.4,0.1,0.3,-,16,0.5,0.7,12,2.8,0.6,0.2,-,-,-,-,0.7,0.2,-,0.4,1.4,0.6,2,Rassoul Ndiaye,11(14),1054,1,-,2,-,0.7,78.5,0.6,-,6.36,Ligue1,167,Le Havre AC,Defensive Midfield,right,"Jun 30, 2026",€2.50m
331,Lyon,21 years old (17-08-2003),"1,77m",France,"Attacking Midfielder (Centre, Left, Right), Forward",0.4,0.1,0.3,0.1,-,0.1,-,-,0.1,0.4,-,-,0.2,0.1,-,0.2,1.6,1.6,3.2,1.1,0.6,0.3,-,0.3,-,0.3,2.5,0.4,2.1,0.1,40.5,1.4,0.5,32.9,5.6,1.6,1.5,-,-,-,-,1.3,0.3,0.1,0.9,0.5,0.8,1.3,Rayan Cherki,20(7),1843,8,10,3,-,1.3,84.9,0.1,6,7.35,Ligue1,277,Olympique Lyon,Right Winger,both,"Jun 30, 2026",€35.00m
332,Reims,23 years old (04-07-2001),"1,75m",Germany,"Attacking Midfielder (Centre, Left, Right), Forward",-,-,-,-,-,-,-,-,-,-,-,0.3,-,-,-,-,0.8,1,1.8,0.8,-,-,-,-,-,-,0.3,-,0.3,-,6.8,-,0.5,5.5,0.8,0.3,-,-,-,-,-,-,-,-,-,0.3,0.3,0.5,Reda Khadra,0(4),78,-,-,-,-,-,81.5,-,-,6.24,Ligue1,427,Stade Reims,Attacking Midfield,right,"Jun 30, 2027",€2.50m
