,Name,Club,Age,Height,National,Positions,Total_Aerial,Won_Aerial,Lost_Aerial,Cross_Assists,Corner_Assists,Throughball_Assists,Freekick_Assists,Throwin_Assists,Other_Assists,Total_Assists,ShotsBlocked_Blocks,CrossesBlocked_Blocks,PassesBlocked_Blocks,Fouled_Cards,Fouls_Cards,CaughtOffside_Clearances,Unsuccessful_Dribbles,Successful_Dribbles,Total Dribbles_Dribbles,Fouled_Fouls,Fouls_Fouls,Total_Goals,OutOfBox_Goals,SixYardBox_Goals,PenaltyArea_Goals,Total_Interception,Total_Key passes,Long_Key passes,Short_Key passes,CaughtOffside_Offsides,Total_Passes,AccLB_Passes,InAccLB_Passes,AccSP_Passes,InAccSP_Passes,UnsuccessfulTouches_Possession loss,Dispossessed_Possession loss,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves,Total_Shots,SixYardBox_Shots,PenaltyArea_Shots,OutOfBox_Shots,TotalTackles_Tackles,DribbledPast_Tackles,TotalAttemptedTackles_Tackles,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
31,Ludovic Ajorque,Brest,31 years old (25-02-1994),197cm,France,Forward,8.6,4.2,4.4,-,-,-,-,-,0.1,0.1,0.2,-,0.5,0.2,-,0.8,0.3,0.2,0.5,0.8,2,0.4,0.2,0.2,-,0.2,1.1,0.1,1.1,0.4,20.8,0.8,0.3,13.6,6.1,1.9,0.3,-,-,-,-,1.6,0.1,0.4,1.1,0.8,0.8,1.6,Ludovic Ajorque,26(2),2253,12,2,5,-,1.6,69.2,4.2,2,7.06
32,Edon Zhegrova,Lille,26 years old (31-03-1999),181cm,,Attacking Midfielder (Right),0.4,0.3,0.2,0.1,-,-,-,-,-,0.1,-,-,0.7,0.1,-,0.1,2.7,1.9,4.6,0.9,0.8,0.3,-,0.3,0.1,0.3,1.3,0.3,1.1,0.4,28.7,0.5,0.3,24.2,3.8,1.9,2.4,-,-,-,-,1.9,1.1,0.1,0.8,0.4,0.4,0.8,Edon Zhegrova,12,986,4,1,1,-,1.9,86,0.3,1,7.05
33,Maghnes Akliouche,Monaco,23 years old (25-02-2002),183cm,France,"Attacking Midfielder (Centre, Right)",0.8,0.1,0.7,-,-,0.1,-,-,0.2,0.3,-,-,0.7,0.1,-,0.4,1.7,1.6,3.2,1.1,1,0.1,-,0.1,-,0.4,1.6,0.1,1.5,0.3,37,1,0.5,30.6,5,2.6,1.4,-,-,-,-,1.9,0.4,0.1,1.3,1.7,0.8,2.5,Maghnes Akliouche,25(4),2229,4,8,2,-,1.9,85.1,0.1,3,7.04
34,Valentín Barco,Strasbourg,20 years old (23-07-2004),170cm,Argentina,"Defender (Left), Midfielder (Centre, Left)",1.3,0.6,0.6,-,-,0.1,-,-,0.1,0.2,0.1,0.8,0.4,0.2,-,1.4,0.9,0.7,1.6,2.2,1,-,-,-,-,0.9,0.5,0.2,0.3,-,46.7,1.5,1.8,38,5.5,1.7,0.7,-,-,-,-,0.8,0.6,-,0.2,2.5,0.7,3.3,Valentín Barco,11,913,-,2,2,-,0.8,84.4,0.6,-,7.03
36,Gaëtan Laborde,Nice,30 years old (03-05-1994),181cm,France,"Attacking Midfielder (Centre, Left, Right), Forward",3.4,1.7,1.7,-,-,-,-,-,0.1,0.2,0.2,0.1,0.5,-,-,0.6,0.7,0.7,1.4,0.6,1,0.4,-,0.3,0.1,0.2,0.9,-,0.9,0.2,17,0.3,0.3,12.2,4.2,1.7,0.6,-,-,-,-,2.8,0.5,0.2,2,0.7,0.5,1.2,Gaëtan Laborde,18(7),1628,9,4,1,-,2.8,73.5,1.7,2,7.02
37,Luis Henrique,Marseille,23 years old (14-12-2001),181cm,Brazil,"Midfielder (Left, Right)",0.1,-,0.1,-,-,-,-,-,0.2,0.2,0.1,-,0.4,-,-,1,1.3,1.6,2.8,0.3,0.3,0.2,0.1,0.1,-,0.3,1.6,0.1,1.5,0.3,39.1,0.9,0.9,32.1,5.1,0.9,0.5,-,-,-,-,0.9,0.2,0.2,0.5,0.5,-,0.5,Luis Henrique,28(3),2505,7,6,-,-,0.9,84.6,-,3,7.02
39,Lamine Camara,Monaco,21 years old (01-01-2004),173cm,Senegal,Midfielder (Centre),1.6,0.9,0.8,0.1,0.1,-,-,-,-,0.2,0.1,0.1,0.9,0.3,-,1,0.4,0.4,0.9,1.3,1.6,0.1,-,-,-,1,1.6,0.7,0.9,-,46.1,2.6,1.3,37.6,4.6,1.4,0.7,-,-,-,-,1,0.7,-,0.2,2.3,0.7,3.1,Lamine Camara,23(4),1899,2,6,8,1,1,87.1,0.9,2,7.01
40,Yehvann Diouf,Reims,25 years old (16-11-1999),188cm,France,Goalkeeper,0.3,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,0.1,0.1,0.1,-,-,-,-,-,-,-,-,-,-,31.8,5.8,10.4,15.3,0.4,-,-,4.1,0.4,2.5,1.2,-,-,-,-,0.1,0.1,0.1,Yehvann Diouf,31,2790,-,-,1,-,-,66.1,0.3,1,7.01
41,Djaoui Cissé,Rennes,21 years old (31-01-2004),188cm,France,Midfielder (Centre),1.5,0.4,1.1,-,-,-,-,-,-,-,0.4,-,1.7,0.4,-,0.7,0.5,1.1,1.5,1.2,2,0.1,-,-,0.1,1.2,0.5,0.2,0.4,-,45.2,4.1,1.1,35.9,4.1,0.9,0.9,-,-,-,-,1.2,1.2,-,-,2.3,0.8,3.1,Djaoui Cissé,11,898,1,-,4,-,1.2,88.5,0.4,-,7.01
42,Hamed Traoré,Auxerre,25 years old (16-02-2000),184cm,Ivory Coast,"Attacking Midfielder (Centre, Left, Right)",1.3,0.5,0.8,-,-,-,-,-,-,0.1,-,-,0.6,0.2,-,0.5,2.7,1.3,4,1.6,1.3,0.4,0.1,0.3,-,0.3,1.1,0.3,0.8,0.3,21.4,0.9,0.7,15.7,4,2.8,2,-,-,-,-,2.7,1.2,0.3,1.3,1.7,1.5,3.3,Hamed Traoré,24,1967,10,2,5,-,2.7,77.8,0.5,3,7.0
