Total,AccLB,InAccLB,AccSP,InAccSP
48.1,1.1,1,44.3,1.8
11.7,0.1,0.2,8.6,2.8
12.2,0.2,0.2,8.6,3.2
44,3.1,5,33.7,2.2
14.3,0.3,0.5,9.5,4
39.4,2.2,2.2,29.9,5.1
49.8,3.3,2.9,38.9,4.7
14.4,0.3,0.7,10.8,2.6
19.3,0.3,0.2,16.5,2.3
51.4,2.8,4.5,40.1,3.9
27.3,4.6,6.2,16.4,0.1
42.8,1.5,1.3,37.3,2.7
23.4,0.5,0.5,18.6,3.8
25,3,4,12,6
31.7,1.2,1,26.3,3.3
28.7,0.2,-,24.9,3.6
37.4,1.2,1.1,31.8,3.4
22.7,2.6,3.3,16.7,0.1
38.4,2.2,1.8,32.3,2.2
16.6,0.3,0.2,12.6,3.5
31.2,0.6,0.7,26.9,3
29.2,0.5,1.1,24.3,3.4
28.4,6.4,7.2,14.6,0.2
22.5,0.6,0.4,16.1,5.5
19.6,0.7,0.5,15.1,3.3
19.3,0.2,0.3,14.9,3.9
23.7,0.8,0.5,19.1,3.4
11.5,-,0.2,10.5,0.8
38.5,1.6,2.5,29.8,4.6
59.2,1.9,2.1,52.3,2.9
6.8,0.2,-,4.5,2.1
20.5,0.3,0.1,17.4,2.8
30,1.5,3.5,20.5,4.5
62.2,3,3.3,52,3.8
18.8,0.4,0.6,14.1,3.8
29.6,1.2,1.5,23,3.9
37.6,3.3,2.4,28.7,3.1
31.1,5.1,11.6,13.9,0.5
31.4,0.7,2,26.4,2.2
24.6,1.3,0.7,20.1,2.4
31.4,2.5,2.7,24,2.3
14.1,0.5,0.3,9.5,3.8
29.9,1,0.7,22.4,5.9
27.4,1.4,2,18.4,5.5
47.2,1.8,3.2,39.1,3.1
7,-,3,4,-
42.5,2,2,35.3,3.3
12.4,0.4,0.1,9.5,2.5
40.6,0.7,1.7,34.6,3.6
52.3,1.4,2.3,45,3.6
22.8,0.9,0.8,16.7,4.4
16.7,0.5,0.5,12.3,3.5
29.8,1.4,1.1,24.1,3.2
59.7,2.5,3.5,50.5,3.2
3.8,0.3,-,2.3,1.3
25.2,4.3,6.4,14.1,0.4
11.2,0.2,0.3,8.5,2.2
37.2,1,2.4,29,4.8
18.4,0.6,0.1,14.1,3.7
36.9,0.5,1,31.6,3.8
31.1,0.9,1,25.8,3.3
17.4,0.2,0.2,14.8,2.3
14.7,0.2,0.3,11,3.3
25.8,4.3,8.9,12.6,0.1
3.5,-,-,3,0.5
19.1,0.8,0.6,15.5,2.3
36.9,1.2,0.3,32.4,3
27.1,6.8,11.9,8.4,0.1
42.9,1.5,2.2,36.1,3.2
19.6,0.8,1,15.5,2.2
28.7,0.9,1,23.5,3.2
22.1,2.4,6.7,12.9,0.1
25,1.3,0.5,20.5,2.7
28.6,1,0.9,23.3,3.4
16.7,0.7,0.6,13.9,1.7
30.8,0.6,0.2,27,3
13.2,0.4,0.4,8.6,3.8
24.7,0.9,0.4,19.2,4.1
18.2,0.4,0.1,15.2,2.6
25,0.6,0.4,21.5,2.5
17.9,0.4,0.2,14.6,2.7
47.4,1.9,2.2,40.2,3.1
27.3,0.5,0.8,23.3,2.7
30.2,8,10.6,11.4,0.1
23.8,0.5,0.4,18.3,4.5
39.8,1.8,1.6,33.2,3.2
7.8,0.2,0.1,5.5,2
12.4,0.1,0.1,8.5,3.8
49.2,1.2,1.9,44,2.1
7.4,0.3,0.2,4.6,2.4
24.3,0.6,0.3,17.1,6.4
11,0.5,0.2,8,2.3
49.1,2.3,1.6,40.7,4.5
11.5,0.2,0.3,7.3,3.7
50.8,2.8,1.8,43,3.1
35.8,2.7,2,29,2.1
31,0.9,1.9,24,4.2
12.1,0.3,0.1,8.5,3.3
31.3,0.2,0.7,26.8,3.6
19.1,0.4,0.1,16.6,2
13.6,0.5,-,10.8,2.3
22.4,0.7,0.2,19.2,2.3
17.7,0.4,0.2,13.8,3.4
13.3,0.6,0.1,11.4,1.1
9.4,0.4,0.3,6.5,2.2
12,0.2,-,10,1.8
12,0.2,0.1,8.5,3.1
25.8,1,0.9,21.1,2.7
37.8,1.8,0.5,32.9,2.5
13.5,0.6,0.6,10.5,1.8
30.9,1.1,1.6,26.4,1.8
21.3,0.5,0.8,16,4
46.3,3.2,1.7,38,3.3
21.2,0.8,0.8,16.1,3.6
22.5,1.1,1.5,17.3,2.6
20.8,0.6,1.5,15.6,3.1
10.9,0.2,0.1,8.4,2.1
37.2,1.1,1,29.3,5.8
29,1.7,1,24.6,1.8
53.3,1.4,2.6,46.3,3
17.3,0.8,0.5,14,2.1
29.4,0.8,1,24.3,3.3
44,2.3,1.7,38.7,1.3
45.3,4.6,2.9,35.6,2.3
27.4,1,2.2,20.9,3.3
29.2,1.1,1.5,22.3,4.3
29.9,0.3,0.5,24.1,5.1
12.9,0.5,0.1,10.7,1.7
22.5,1,0.5,17.5,3.5
30.5,8.3,10.9,11.1,0.2
14.2,0.3,0.1,10.5,3.4
25.8,0.9,0.9,20.2,3.8
14.1,0.1,0.1,11.6,2.3
